file;Atime;Btime
1-random/r001.dimacs;0.54;0.47
1-random/r002.dimacs;0.24;0.22
1-random/r003.dimacs;0.24;0.2
1-random/r004.dimacs;0.39;0.98
1-random/r005.dimacs;0.24;0.21
1-random/r006.dimacs;0.24;0.24
1-random/r007.dimacs;0.28;0.47
1-random/r008.dimacs;0.29;0.55
1-random/r009.dimacs;0.32;0.34
1-random/r010.dimacs;0.23;0.21
1-random/r011.dimacs;0.22;0.2
1-random/r012.dimacs;0.38;0.87
1-random/r013.dimacs;0.23;0.19
1-random/r014.dimacs;0.23;0.23
1-random/r015.dimacs;0.27;0.46
1-random/r016.dimacs;0.28;0.52
1-random/r017.dimacs;0.3;0.35
1-random/r018.dimacs;0.23;0.2
1-random/r019.dimacs;0.23;0.19
1-random/r020.dimacs;0.38;0.87
1-random/r021.dimacs;0.23;0.2
1-random/r022.dimacs;0.23;0.23
1-random/r023.dimacs;0.27;0.45
1-random/r024.dimacs;0.28;0.53
1-random/r025.dimacs;0.24;0.27
1-random/r026.dimacs;0.22;0.2
1-random/r027.dimacs;0.23;0.28
1-random/r028.dimacs;0.23;0.2
1-random/r029.dimacs;0.23;0.28
1-random/r030.dimacs;0.23;0.2
1-random/r031.dimacs;0.34;3.13
1-random/r032.dimacs;0.26;0.53
1-random/r033.dimacs;0.26;0.86
1-random/r034.dimacs;0.35;3.43
1-random/r035.dimacs;0.26;0.54
1-random/r036.dimacs;0.26;0.87
1-random/r037.dimacs;0.35;3.13
1-random/r038.dimacs;0.26;0.52
1-random/r039.dimacs;0.26;0.86
1-random/r040.dimacs;0.29;1.63
1-random/r041.dimacs;0.26;0.6
1-random/r042.dimacs;2.36;28.56
1-random/r043.dimacs;0.52;3.12
1-random/r044.dimacs;0.86;13.19
1-random/r045.dimacs;0.36;2.53
1-random/r046.dimacs;0.36;2.17
1-random/r047.dimacs;0.3;1.63
1-random/r048.dimacs;0.26;0.6
1-random/r049.dimacs;2.43;29.34
1-random/r050.dimacs;0.52;3.15
1-random/r051.dimacs;0.82;13.33
1-random/r052.dimacs;0.37;2.54
1-random/r053.dimacs;0.37;2.1
1-random/r054.dimacs;0.3;1.65
1-random/r055.dimacs;0.26;0.59
1-random/r056.dimacs;2.36;28.88
1-random/r057.dimacs;0.53;3.14
1-random/r058.dimacs;0.85;12.77
1-random/r059.dimacs;0.36;2.5
1-random/r060.dimacs;2.75;70.02
1-random/r061.dimacs;0.87;16.51
1-random/r062.dimacs;6.27;134.25
1-random/r063.dimacs;3.2;71.47
1-random/r064.dimacs;2.72;52.16
1-random/r065.dimacs;2.76;69.54
1-random/r066.dimacs;0.86;16.8
1-random/r067.dimacs;6.34;139.46
1-random/r068.dimacs;3.3;69.25
1-random/r069.dimacs;2.74;51.41
1-random/r070.dimacs;5.66;166.13
1-random/r071.dimacs;8.42;131.37
1-random/r072.dimacs;5.63;162.67
1-random/r073.dimacs;8.46;134.84
1-random/r074.dimacs;1.27;15.61
1-random/r075.dimacs;1.26;15.91
1-random/r076.dimacs;1.83;114.05
1-random/r077.dimacs;3.38;67.45
1-random/r078.dimacs;1.86;115.42
1-random/r079.dimacs;3.94;67.14
1-random/r080.dimacs;8.82;
1-random/r081.dimacs;9.01;
1-random/r082.dimacs;10.48;
1-random/r083.dimacs;10.31;
1-random/r084.dimacs;6.84;214.16
1-random/r085.dimacs;6.64;211.16
1-random/r086.dimacs;10.2;
1-random/r087.dimacs;8.69;
1-random/r088.dimacs;5.93;107.12
1-random/r089.dimacs;10.09;
1-random/r090.dimacs;8.75;
1-random/r091.dimacs;5.56;104.53
1-random/r092.dimacs;15.14;
1-random/r093.dimacs;14.81;
1-random/r094.dimacs;5.83;205.51
1-random/r095.dimacs;5.97;205.01
1-random/r096.dimacs;1.94;160.91
1-random/r097.dimacs;1.93;157.34
1-random/r098.dimacs;15.38;
1-random/r099.dimacs;7.03;
1-random/r100.dimacs;14.98;
1-random/r101.dimacs;6.95;
1-random/r102.dimacs;63.39;
1-random/r103.dimacs;62.73;
1-random/r104.dimacs;67.52;
1-random/r105.dimacs;9.78;
1-random/r106.dimacs;68.82;
1-random/r107.dimacs;10.35;
1-random/r108.dimacs;10.15;
1-random/r109.dimacs;96.93;
1-random/r110.dimacs;10.3;
1-random/r111.dimacs;103.17;
1-random/r112.dimacs;25.87;
1-random/r113.dimacs;20.61;
1-random/r114.dimacs;74.02;
1-random/r115.dimacs;79.24;
1-random/r116.dimacs;;
1-random/r117.dimacs;;
1-random/r118.dimacs;168.77;
1-random/r119.dimacs;161.63;
1-random/r120.dimacs;11.17;
1-random/r121.dimacs;12.38;
1-random/r122.dimacs;205.85;
1-random/r123.dimacs;204.63;
1-random/r124.dimacs;;
1-random/r125.dimacs;;
1-random/r126.dimacs;39.53;
1-random/r127.dimacs;40.64;
1-random/r128.dimacs;;
1-random/r129.dimacs;;
1-random/r130.dimacs;;
1-random/r131.dimacs;;
1-random/r132.dimacs;;
1-random/r133.dimacs;;
1-random/r134.dimacs;;
1-random/r135.dimacs;;
1-random/r136.dimacs;;
1-random/r137.dimacs;;
1-random/r138.dimacs;;
1-random/r139.dimacs;;
1-random/r140.dimacs;;
1-random/r141.dimacs;;
1-random/r142.dimacs;;
1-random/r143.dimacs;;
1-random/r144.dimacs;;
1-random/r145.dimacs;;
1-random/r146.dimacs;;
1-random/r147.dimacs;;
1-random/r148.dimacs;;
1-random/r149.dimacs;;
1-random/r150.dimacs;;
1-random/r151.dimacs;;
1-random/r152.dimacs;;
1-random/r153.dimacs;;
1-random/r154.dimacs;;
1-random/r155.dimacs;;
1-random/r156.dimacs;;
1-random/r157.dimacs;;
1-random/r158.dimacs;;
1-random/r159.dimacs;;
1-random/r160.dimacs;;
